,OBJECTID,NAME,X,Y,Parish,Community,Buil_Value,Occupancy,Roof_type,Roof_shape,Constr_typ,Area,class,exposed,geom_id
1263,17926,,-61.3887,15.3001,St._Luke,Roseau,29515.5,Residential,Galvanized,Bell shape,Concrete,63.1683,1.0,100.0,17926
1264,17927,Fashion_Trends,-61.3889,15.2999,St._Luke,Roseau,130792.0,Commercial,Galvanized,V shape,Concrete,94.2639,1.0,100.0,17927
1265,17928,,-61.3889,15.2999,St._Luke,Roseau,27195.6,Residential,Galvanized,Bell shape,Concrete,58.2035,1.0,100.0,17928
1266,17929,,-61.3885,15.2999,St._Luke,Roseau,194922.0,Commercial,Concrete,Flat shape,Concrete,234.141,1.0,100.0,17929
1267,17931,,-61.3886,15.2996,St._Luke,Roseau,41270.0,Residential,Galvanized,V shape,Concrete,147.209,1.0,100.0,17931
1268,17932,,-61.3885,15.2995,St._Luke,Roseau,37456.2,Residential,Galvanized,V shape,Concrete,133.605,1.0,100.0,17932
1269,17934,,-61.3883,15.2995,St._Luke,Roseau,33518.4,Residential,Galvanized,V shape,Concrete,119.559,1.0,100.0,17934
1270,17935,,-61.3882,15.2996,St._Luke,Roseau,32051.6,Residential,Galvanized,V shape,Concrete,114.327,1.0,100.0,17935
1271,17936,,-61.3883,15.2997,St._Luke,Roseau,38239.7,Residential,Galvanized,V shape,Concrete,136.4,1.0,100.0,17936
1272,17937,,-61.3884,15.2998,St._Luke,Roseau,53819.9,Residential,Galvanized,V shape,Concrete,191.974,1.0,100.0,17937
1273,17938,,-61.3885,15.2996,St._Luke,Roseau,32751.6,Residential,Galvanized,V shape,Concrete,116.824,1.0,100.0,17938
1274,17939,,-61.3885,15.2994,St._Luke,Roseau,171638.0,Commercial,Concrete,Flat shape,Concrete,206.172,1.0,100.0,17939
1275,17940,,-61.3887,15.2997,St._Luke,Roseau,44118.1,Residential,Galvanized,V shape,Concrete,157.368,1.0,100.0,17940
1276,17941,,-61.3867,15.3001,St._Luke,Roseau,95481.6,Residential,Concrete,Flat shape,Concrete,340.58,1.0,100.0,17941
1277,17942,,-61.3866,15.3,St._Luke,Roseau,22510.6,Residential,Galvanized,Bell shape,Concrete,48.1768,1.0,100.0,17942
1278,17944,,-61.3863,15.3001,St._Luke,Roseau,33966.6,Residential,Galvanized,V shape,Concrete,121.158,1.0,100.0,17944
1279,17945,,-61.3864,15.2997,St._Luke,Roseau,87119.6,Residential,Concrete,Flat shape,Concrete,310.753,1.0,100.0,17945
1280,17946,,-61.3862,15.2995,St._Luke,Roseau,125154.0,Commercial,Galvanized,V shape,Wood,150.335,1.0,100.0,17946
1281,17947,,-61.3862,15.2999,St._Luke,Roseau,291795.0,Commercial,Concrete,Flat shape,Concrete,350.505,1.0,100.0,17947
1282,17948,Perky´s,-61.3865,15.2999,St._Luke,Roseau,237654.0,Commercial,Galvanized,V shape,Wood,285.47,1.0,100.0,17948
1283,17949,,-61.3863,15.3,St._Luke,Roseau,33499.9,Residential,Galvanized,Bell shape,Concrete,71.6957,1.0,100.0,17949
1284,17950,,-61.3867,15.2999,St._Luke,Roseau,28885.0,Residential,Galvanized,V shape,Concrete,103.032,1.0,100.0,17950
1285,17951,,-61.3863,15.2996,St._Luke,Roseau,28573.0,Residential,Galvanized,V shape,Concrete,101.919,1.0,100.0,17951
1286,17963,,-61.3863,15.2979,St._Luke,Roseau,67712.7,Residential,Galvanized,Bell shape,Wood,241.529,1.0,100.0,17963
1287,17964,Dominica_National_Council_of_Women,-61.3863,15.298,St._Luke,Roseau,40757.0,Govermental institute,Galvanized,V shape,Concrete,145.379,1.0,100.0,17964
1288,17966,,-61.3881,15.298,St._Luke,Roseau,42071.0,Residential,Galvanized,V shape,Concrete,150.066,1.0,100.0,17966
1289,17968,,-61.388,15.2981,St._Luke,Roseau,38542.8,Residential,Galvanized,V shape,Concrete,137.481,1.0,100.0,17968
1290,17970,,-61.3873,15.2977,St._Luke,Roseau,46989.5,Residential,Galvanized,V shape,Concrete,167.61,1.0,100.0,17970
